Date,Label,total_words,unique_words,repeated_words,repeated_word_ratio
2008-08-08,0,407,239,168,0.41277641277641275
2008-08-11,1,297,186,111,0.37373737373737376
2008-08-12,0,387,221,166,0.4289405684754522
2008-08-13,0,344,220,124,0.36046511627906974
2008-08-14,1,305,210,95,0.3114754098360656
2008-08-15,1,377,240,137,0.363395225464191
2008-08-18,0,285,193,92,0.32280701754385965
2008-08-19,0,305,208,97,0.3180327868852459
2008-08-20,1,353,233,120,0.33994334277620397
2008-08-21,1,354,251,103,0.2909604519774011
2008-08-22,1,348,234,114,0.3275862068965517
2008-08-25,0,304,219,85,0.27960526315789475
2008-08-26,1,294,216,78,0.2653061224489796
2008-08-27,1,315,211,104,0.33015873015873015
2008-08-28,1,258,170,88,0.34108527131782945
2008-08-29,0,303,208,95,0.31353135313531355
2008-09-02,0,370,241,129,0.34864864864864864
2008-09-03,1,306,215,91,0.2973856209150327
2008-09-04,0,337,217,120,0.3560830860534125
2008-09-05,1,349,243,106,0.3037249283667622
2008-09-08,1,336,210,126,0.375
2008-09-09,0,383,257,126,0.3289817232375979
2008-09-10,1,280,201,79,0.28214285714285714
2008-09-11,1,276,182,94,0.34057971014492755
2008-09-12,0,373,224,149,0.39946380697050937
2008-09-15,0,343,243,100,0.2915451895043732
2008-09-16,1,373,253,120,0.32171581769436997
2008-09-17,0,271,178,93,0.34317343173431736
2008-09-18,1,322,219,103,0.3198757763975155
2008-09-19,1,278,193,85,0.3057553956834532
2008-09-22,0,356,228,128,0.3595505617977528
2008-09-23,0,288,185,103,0.3576388888888889
2008-09-24,0,314,223,91,0.2898089171974522
2008-09-25,1,259,185,74,0.2857142857142857
2008-09-26,1,298,219,79,0.2651006711409396
2008-09-29,0,317,227,90,0.28391167192429023
2008-09-30,1,272,185,87,0.31985294117647056
2008-10-01,0,386,265,121,0.3134715025906736
2008-10-02,0,324,216,108,0.3333333333333333
2008-10-03,0,365,245,120,0.3287671232876712
2008-10-06,0,269,188,81,0.30111524163568776
2008-10-07,0,362,223,139,0.3839779005524862
2008-10-08,0,387,265,122,0.3152454780361757
2008-10-09,0,401,260,141,0.3516209476309227
2008-10-10,0,407,269,138,0.33906633906633904
2008-10-13,1,314,211,103,0.32802547770700635
2008-10-14,0,422,287,135,0.31990521327014215
2008-10-15,0,358,247,111,0.3100558659217877
2008-10-16,1,359,259,100,0.2785515320334262
2008-10-17,0,374,266,108,0.2887700534759358
2008-10-20,1,313,240,73,0.23322683706070288
2008-10-21,0,396,264,132,0.3333333333333333
2008-10-22,0,417,278,139,0.3333333333333333
2008-10-23,1,343,248,95,0.27696793002915454
2008-10-24,0,367,241,126,0.34332425068119893
2008-10-27,0,371,246,125,0.33692722371967654
2008-10-28,1,322,232,90,0.2795031055900621
2008-10-29,0,353,237,116,0.3286118980169972
2008-10-30,1,364,246,118,0.3241758241758242
2008-10-31,1,249,186,63,0.25301204819277107
2008-11-03,0,372,266,106,0.2849462365591398
2008-11-04,1,360,251,109,0.30277777777777776
2008-11-05,0,343,234,109,0.3177842565597668
2008-11-06,0,368,253,115,0.3125
2008-11-07,1,305,216,89,0.29180327868852457
2008-11-10,0,328,223,105,0.3201219512195122
2008-11-11,0,322,226,96,0.2981366459627329
2008-11-12,0,386,259,127,0.3290155440414508
2008-11-13,1,351,246,105,0.29914529914529914
2008-11-14,0,343,243,100,0.2915451895043732
2008-11-17,0,289,205,84,0.2906574394463668
2008-11-18,1,367,242,125,0.3405994550408719
2008-11-19,0,284,201,83,0.29225352112676056
2008-11-20,0,307,213,94,0.30618892508143325
2008-11-21,1,341,232,109,0.3196480938416422
2008-11-24,1,367,225,142,0.3869209809264305
2008-11-25,1,325,233,92,0.28307692307692306
2008-11-26,1,297,197,100,0.3367003367003367
2008-11-28,1,399,244,155,0.38847117794486213
2008-12-01,0,307,219,88,0.28664495114006516
2008-12-02,1,423,288,135,0.3191489361702128
2008-12-03,1,393,262,131,0.3333333333333333
2008-12-04,0,311,219,92,0.2958199356913183
2008-12-05,1,335,228,107,0.3194029850746269
2008-12-08,1,335,233,102,0.3044776119402985
2008-12-09,0,397,261,136,0.3425692695214106
2008-12-10,1,345,233,112,0.32463768115942027
2008-12-11,0,372,260,112,0.3010752688172043
2008-12-12,1,342,231,111,0.32456140350877194
2008-12-15,0,307,222,85,0.2768729641693811
2008-12-16,1,375,245,130,0.3466666666666667
2008-12-17,0,325,230,95,0.2923076923076923
2008-12-18,0,331,238,93,0.2809667673716012
2008-12-19,0,358,242,116,0.3240223463687151
2008-12-22,0,395,269,126,0.3189873417721519
2008-12-23,0,337,245,92,0.27299703264094954
2008-12-24,1,298,194,104,0.348993288590604
2008-12-26,1,377,234,143,0.3793103448275862
2008-12-29,0,324,213,111,0.3425925925925926
2008-12-30,1,420,271,149,0.3547619047619048
2008-12-31,1,357,230,127,0.3557422969187675
2009-01-02,1,303,211,92,0.30363036303630364
2009-01-05,0,408,240,168,0.4117647058823529
2009-01-06,1,414,250,164,0.3961352657004831
2009-01-07,0,447,260,187,0.41834451901565994
2009-01-08,0,365,221,144,0.39452054794520547
2009-01-09,0,417,266,151,0.36211031175059955
2009-01-12,0,440,271,169,0.3840909090909091
2009-01-13,0,364,238,126,0.34615384615384615
2009-01-14,0,395,234,161,0.40759493670886077
2009-01-15,1,400,253,147,0.3675
2009-01-16,1,489,270,219,0.44785276073619634
2009-01-20,0,336,219,117,0.3482142857142857
2009-01-21,1,373,252,121,0.32439678284182305
2009-01-22,0,384,247,137,0.3567708333333333
